configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
0.7,beta,poisson,100,2,24,7002,0.6969075917555548,0.0030924082444451217
0.7,beta,poisson,100,2,24,7003,0.7152588801533759,0.015258880153375953
0.7,beta,poisson,100,2,24,7004,0.7012055053907685,0.0012055053907685798
-0.7,beta,normal,100,2,24,7000,-0.6870390707447136,0.012960929255286358
-0.7,beta,normal,100,2,24,7001,-0.6934247599049518,0.006575240095048174
-0.7,beta,normal,100,2,24,7002,-0.6842236685330126,0.015776331466987314
-0.7,beta,normal,100,2,24,7003,-0.6878736870271143,0.012126312972885689
-0.7,beta,normal,100,2,24,7004,-0.7001623336945667,0.00016233369456675195
-0.3,beta,normal,100,2,24,7000,-0.29753286289573966,0.0024671371042603307
-0.3,beta,normal,100,2,24,7001,-0.3035674261973552,0.003567426197355228
-0.3,beta,normal,100,2,24,7002,-0.29147889175715874,0.008521108242841247
-0.3,beta,normal,100,2,24,7003,-0.30217935982331384,0.0021793598233138534
-0.3,beta,normal,100,2,24,7004,-0.30766516184496234,0.007665161844962354
0.0,beta,normal,100,2,24,7000,-0.00762606725107464,0.00762606725107464
0.0,beta,normal,100,2,24,7001,-0.008237336691786694,0.008237336691786694
0.0,beta,normal,100,2,24,7002,-6.494605029189638e-05,6.494605029189638e-05
0.0,beta,normal,100,2,24,7003,-0.013373543393202294,0.013373543393202294
0.0,beta,normal,100,2,24,7004,-0.006418836777924905,0.006418836777924905
0.3,beta,normal,100,2,24,7000,0.2837426243804697,0.01625737561953028
0.3,beta,normal,100,2,24,7001,0.2890719823906753,0.010928017609324714
0.3,beta,normal,100,2,24,7002,0.29130300608272064,0.00869699391727935
0.3,beta,normal,100,2,24,7003,0.2790246393716462,0.020975360628353812
0.3,beta,normal,100,2,24,7004,0.2963336283482528,0.0036663716517472134
0.7,beta,normal,100,2,24,7000,0.6793122051097991,0.020687794890200895
0.7,beta,normal,100,2,24,7001,0.6866033298408144,0.013396670159185553
0.7,beta,normal,100,2,24,7002,0.6839151553382622,0.016084844661737763
0.7,beta,normal,100,2,24,7003,0.6786149749557034,0.021385025044296513
0.7,beta,normal,100,2,24,7004,0.6946104305752843,0.00538956942471569
-0.7,beta,gamma,100,2,24,7000,-0.625087745202475,0.07491225479752495
-0.7,beta,gamma,100,2,24,7001,-0.6224919452858191,0.07750805471418087
-0.7,beta,gamma,100,2,24,7002,-0.6308853149351376,0.0691146850648624
-0.7,beta,gamma,100,2,24,7003,-0.628912227304289,0.07108777269571098
-0.7,beta,gamma,100,2,24,7004,-0.6251577339248208,0.07484226607517919
-0.3,beta,gamma,100,2,24,7000,-0.280808228914348,0.01919177108565201
-0.3,beta,gamma,100,2,24,7001,-0.2702500986221908,0.029749901377809196
-0.3,beta,gamma,100,2,24,7002,-0.28907079308755285,0.010929206912447142
-0.3,beta,gamma,100,2,24,7003,-0.2951077132379668,0.004892286762033182
-0.3,beta,gamma,100,2,24,7004,-0.244523225258493,0.055476774741507
0.0,beta,gamma,100,2,24,7000,-0.010166573032267987,0.010166573032267987
0.0,beta,gamma,100,2,24,7001,-3.495926863995044e-05,3.495926863995044e-05
0.0,beta,gamma,100,2,24,7002,-0.016438152405134947,0.016438152405134947
0.0,beta,gamma,100,2,24,7003,-0.027303213258533274,0.027303213258533274
0.0,beta,gamma,100,2,24,7004,0.04379354690307659,0.04379354690307659
0.3,beta,gamma,100,2,24,7000,0.2712142033962136,0.028785796603786384
0.3,beta,gamma,100,2,24,7001,0.2769226728654853,0.023077327134514714
0.3,beta,gamma,100,2,24,7002,0.27142387459324613,0.02857612540675386
0.3,beta,gamma,100,2,24,7003,0.2604472256683237,0.03955277433167631
0.3,beta,gamma,100,2,24,7004,0.3234475627724997,0.023447562772499708
0.7,beta,gamma,100,2,24,7000,0.6639382820872,0.036061717912799995
0.7,beta,gamma,100,2,24,7001,0.6664508918324312,0.03354910816756873
0.7,beta,gamma,100,2,24,7002,0.6733945957875237,0.026605404212476258
0.7,beta,gamma,100,2,24,7003,0.6715393375595498,0.028460662440450202
0.7,beta,gamma,100,2,24,7004,0.6915318006585851,0.00846819934141485
-0.7,lognorm,poisson,100,2,24,7000,-0.6360378386479764,0.0639621613520236
